z1_new_m	d2_new_long_m
-9.000000e-03	2.271188e-04
-8.990000e-03	2.269781e-04
-8.980000e-03	2.268373e-04
-8.970000e-03	2.266965e-04
-8.960000e-03	2.265558e-04
-8.950000e-03	2.264150e-04
-8.940000e-03	2.262743e-04
-8.930000e-03	2.261335e-04
-8.920000e-03	2.259927e-04
-8.910000e-03	2.258520e-04
-8.900000e-03	2.257112e-04
-8.890000e-03	2.255704e-04
-8.880000e-03	2.254297e-04
-8.870000e-03	2.252889e-04
-8.860000e-03	2.251481e-04
-8.850000e-03	2.250074e-04
-8.840000e-03	2.248666e-04
-8.830000e-03	2.247258e-04
-8.820000e-03	2.245851e-04
-8.810000e-03	2.244443e-04
-8.800000e-03	2.243036e-04
-8.790000e-03	2.241628e-04
-8.780000e-03	2.240220e-04
-8.770000e-03	2.238813e-04
-8.760000e-03	2.237405e-04
-8.750000e-03	2.235997e-04
-8.740000e-03	2.234590e-04
-8.730000e-03	2.233182e-04
-8.720000e-03	2.231774e-04
-8.710000e-03	2.230367e-04
-8.700000e-03	2.228959e-04
-8.690000e-03	2.227551e-04
-8.680000e-03	2.226144e-04
-8.670000e-03	2.224736e-04
-8.660000e-03	2.223328e-04
-8.650000e-03	2.221921e-04
-8.640000e-03	2.220513e-04
-8.630000e-03	2.219106e-04
-8.620000e-03	2.217698e-04
-8.610000e-03	2.216290e-04
-8.600000e-03	2.214883e-04
-8.590000e-03	2.213475e-04
-8.580000e-03	2.212067e-04
-8.570000e-03	2.210660e-04
-8.560000e-03	2.209252e-04
-8.550000e-03	2.207844e-04
-8.540000e-03	2.206437e-04
-8.530000e-03	2.205029e-04
-8.520000e-03	2.203621e-04
-8.510000e-03	2.202214e-04
-8.500000e-03	2.200806e-04
-8.490000e-03	2.199399e-04
-8.480000e-03	2.197991e-04
-8.470000e-03	2.196583e-04
-8.460000e-03	2.195176e-04
-8.450000e-03	2.193768e-04
-8.440000e-03	2.192360e-04
-8.430000e-03	2.190953e-04
-8.420000e-03	2.189545e-04
-8.410000e-03	2.188137e-04
-8.400000e-03	2.186730e-04
-8.390000e-03	2.185322e-04
-8.380000e-03	2.183914e-04
-8.370000e-03	2.182507e-04
-8.360000e-03	2.181099e-04
-8.350000e-03	2.179692e-04
-8.340000e-03	2.178284e-04
-8.330000e-03	2.176876e-04
-8.320000e-03	2.175469e-04
-8.310000e-03	2.174061e-04
-8.300000e-03	2.172653e-04
-8.290000e-03	2.171246e-04
-8.280000e-03	2.169838e-04
-8.270000e-03	2.168430e-04
-8.260000e-03	2.167023e-04
-8.250000e-03	2.165615e-04
-8.240000e-03	2.164207e-04
-8.230000e-03	2.162800e-04
-8.220000e-03	2.161392e-04
-8.210000e-03	2.159985e-04
-8.200000e-03	2.158577e-04
-8.190000e-03	2.157169e-04
-8.180000e-03	2.155762e-04
-8.170000e-03	2.154354e-04
-8.160000e-03	2.152946e-04
-8.150000e-03	2.151539e-04
-8.140000e-03	2.150131e-04
-8.130000e-03	2.148723e-04
-8.120000e-03	2.147316e-04
-8.110000e-03	2.145908e-04
-8.100000e-03	2.144500e-04
-8.090000e-03	2.143093e-04
-8.080000e-03	2.141685e-04
-8.070000e-03	2.140278e-04
-8.060000e-03	2.138870e-04
-8.050000e-03	2.137462e-04
-8.040000e-03	2.136055e-04
-8.030000e-03	2.134647e-04
-8.020000e-03	2.133239e-04
-8.010000e-03	2.131832e-04
-8.000000e-03	2.130424e-04
-7.990000e-03	2.129023e-04
-7.980000e-03	2.127623e-04
-7.970000e-03	2.126222e-04
-7.960000e-03	2.124822e-04
-7.950000e-03	2.123421e-04
-7.940000e-03	2.122020e-04
-7.930000e-03	2.120620e-04
-7.920000e-03	2.119219e-04
-7.910000e-03	2.117819e-04
-7.900000e-03	2.116418e-04
-7.890000e-03	2.115018e-04
-7.880000e-03	2.113617e-04
-7.870000e-03	2.112216e-04
-7.860000e-03	2.110816e-04
-7.850000e-03	2.109415e-04
-7.840000e-03	2.108015e-04
-7.830000e-03	2.106614e-04
-7.820000e-03	2.105213e-04
-7.810000e-03	2.103813e-04
-7.800000e-03	2.102412e-04
-7.790000e-03	2.101012e-04
-7.780000e-03	2.099611e-04
-7.770000e-03	2.098210e-04
-7.760000e-03	2.096810e-04
-7.750000e-03	2.095409e-04
-7.740000e-03	2.094009e-04
-7.730000e-03	2.092608e-04
-7.720000e-03	2.091207e-04
-7.710000e-03	2.089807e-04
-7.700000e-03	2.088406e-04
-7.690000e-03	2.087006e-04
-7.680000e-03	2.085605e-04
-7.670000e-03	2.084205e-04
-7.660000e-03	2.082804e-04
-7.650000e-03	2.081403e-04
-7.640000e-03	2.080003e-04
-7.630000e-03	2.078602e-04
-7.620000e-03	2.077202e-04
-7.610000e-03	2.075801e-04
-7.600000e-03	2.074400e-04
-7.590000e-03	2.073000e-04
-7.580000e-03	2.071599e-04
-7.570000e-03	2.070199e-04
-7.560000e-03	2.068798e-04
-7.550000e-03	2.067397e-04
-7.540000e-03	2.065997e-04
-7.530000e-03	2.064596e-04
-7.520000e-03	2.063196e-04
-7.510000e-03	2.061795e-04
-7.500000e-03	2.060394e-04
-7.490000e-03	2.058994e-04
-7.480000e-03	2.057593e-04
-7.470000e-03	2.056193e-04
-7.460000e-03	2.054792e-04
-7.450000e-03	2.053392e-04
-7.440000e-03	2.051991e-04
-7.430000e-03	2.050590e-04
-7.420000e-03	2.049190e-04
-7.410000e-03	2.047789e-04
-7.400000e-03	2.046389e-04
-7.390000e-03	2.044988e-04
-7.380000e-03	2.043587e-04
-7.370000e-03	2.042187e-04
