z1_new_m	d1_new_long_m
-9.000000e-03	2.195209e-04
-8.990000e-03	2.194051e-04
-8.980000e-03	2.192894e-04
-8.970000e-03	2.191736e-04
-8.960000e-03	2.190579e-04
-8.950000e-03	2.189421e-04
-8.940000e-03	2.188263e-04
-8.930000e-03	2.187106e-04
-8.920000e-03	2.185948e-04
-8.910000e-03	2.184791e-04
-8.900000e-03	2.183633e-04
-8.890000e-03	2.182476e-04
-8.880000e-03	2.181318e-04
-8.870000e-03	2.180160e-04
-8.860000e-03	2.179003e-04
-8.850000e-03	2.177845e-04
-8.840000e-03	2.176688e-04
-8.830000e-03	2.175530e-04
-8.820000e-03	2.174372e-04
-8.810000e-03	2.173215e-04
-8.800000e-03	2.172057e-04
-8.790000e-03	2.170900e-04
-8.780000e-03	2.169742e-04
-8.770000e-03	2.168584e-04
-8.760000e-03	2.167427e-04
-8.750000e-03	2.166269e-04
-8.740000e-03	2.165112e-04
-8.730000e-03	2.163954e-04
-8.720000e-03	2.162796e-04
-8.710000e-03	2.161639e-04
-8.700000e-03	2.160481e-04
-8.690000e-03	2.159324e-04
-8.680000e-03	2.158166e-04
-8.670000e-03	2.157008e-04
-8.660000e-03	2.155851e-04
-8.650000e-03	2.154693e-04
-8.640000e-03	2.153536e-04
-8.630000e-03	2.152378e-04
-8.620000e-03	2.151220e-04
-8.610000e-03	2.150063e-04
-8.600000e-03	2.148905e-04
-8.590000e-03	2.147748e-04
-8.580000e-03	2.146590e-04
-8.570000e-03	2.145433e-04
-8.560000e-03	2.144275e-04
-8.550000e-03	2.143117e-04
-8.540000e-03	2.141960e-04
-8.530000e-03	2.140802e-04
-8.520000e-03	2.139645e-04
-8.510000e-03	2.138487e-04
-8.500000e-03	2.137329e-04
-8.490000e-03	2.136172e-04
-8.480000e-03	2.135014e-04
-8.470000e-03	2.133857e-04
-8.460000e-03	2.132699e-04
-8.450000e-03	2.131541e-04
-8.440000e-03	2.130384e-04
-8.430000e-03	2.129226e-04
-8.420000e-03	2.128069e-04
-8.410000e-03	2.126911e-04
-8.400000e-03	2.125753e-04
-8.390000e-03	2.124596e-04
-8.380000e-03	2.123438e-04
-8.370000e-03	2.122281e-04
-8.360000e-03	2.121123e-04
-8.350000e-03	2.119965e-04
-8.340000e-03	2.118808e-04
-8.330000e-03	2.117650e-04
-8.320000e-03	2.116493e-04
-8.310000e-03	2.115335e-04
-8.300000e-03	2.114177e-04
-8.290000e-03	2.113020e-04
-8.280000e-03	2.111862e-04
-8.270000e-03	2.110705e-04
-8.260000e-03	2.109547e-04
-8.250000e-03	2.108390e-04
-8.240000e-03	2.107232e-04
-8.230000e-03	2.106074e-04
-8.220000e-03	2.104917e-04
-8.210000e-03	2.103759e-04
-8.200000e-03	2.102602e-04
-8.190000e-03	2.101444e-04
-8.180000e-03	2.100286e-04
-8.170000e-03	2.099129e-04
-8.160000e-03	2.097971e-04
-8.150000e-03	2.096814e-04
-8.140000e-03	2.095656e-04
-8.130000e-03	2.094498e-04
-8.120000e-03	2.093341e-04
-8.110000e-03	2.092183e-04
-8.100000e-03	2.091026e-04
-8.090000e-03	2.089868e-04
-8.080000e-03	2.088710e-04
-8.070000e-03	2.087553e-04
-8.060000e-03	2.086395e-04
-8.050000e-03	2.085238e-04
-8.040000e-03	2.084080e-04
-8.030000e-03	2.082922e-04
-8.020000e-03	2.081765e-04
-8.010000e-03	2.080607e-04
-8.000000e-03	2.079450e-04
-7.990000e-03	2.078299e-04
-7.980000e-03	2.077149e-04
-7.970000e-03	2.075999e-04
-7.960000e-03	2.074848e-04
-7.950000e-03	2.073698e-04
-7.940000e-03	2.072548e-04
-7.930000e-03	2.071397e-04
-7.920000e-03	2.070247e-04
-7.910000e-03	2.069097e-04
-7.900000e-03	2.067946e-04
-7.890000e-03	2.066796e-04
-7.880000e-03	2.065646e-04
-7.870000e-03	2.064495e-04
-7.860000e-03	2.063345e-04
-7.850000e-03	2.062194e-04
-7.840000e-03	2.061044e-04
-7.830000e-03	2.059894e-04
-7.820000e-03	2.058743e-04
-7.810000e-03	2.057593e-04
-7.800000e-03	2.056443e-04
-7.790000e-03	2.055292e-04
-7.780000e-03	2.054142e-04
-7.770000e-03	2.052992e-04
-7.760000e-03	2.051841e-04
-7.750000e-03	2.050691e-04
-7.740000e-03	2.049541e-04
-7.730000e-03	2.048390e-04
-7.720000e-03	2.047240e-04
-7.710000e-03	2.046090e-04
-7.700000e-03	2.044939e-04
-7.690000e-03	2.043789e-04
-7.680000e-03	2.042639e-04
-7.670000e-03	2.041488e-04
-7.660000e-03	2.040338e-04
-7.650000e-03	2.039188e-04
-7.640000e-03	2.038037e-04
-7.630000e-03	2.036887e-04
-7.620000e-03	2.035736e-04
-7.610000e-03	2.034586e-04
-7.600000e-03	2.033436e-04
-7.590000e-03	2.032285e-04
-7.580000e-03	2.031135e-04
-7.570000e-03	2.029985e-04
-7.560000e-03	2.028834e-04
-7.550000e-03	2.027684e-04
-7.540000e-03	2.026534e-04
-7.530000e-03	2.025383e-04
-7.520000e-03	2.024233e-04
-7.510000e-03	2.023083e-04
-7.500000e-03	2.021932e-04
-7.490000e-03	2.020782e-04
-7.480000e-03	2.019632e-04
-7.470000e-03	2.018481e-04
-7.460000e-03	2.017331e-04
-7.450000e-03	2.016181e-04
-7.440000e-03	2.015030e-04
-7.430000e-03	2.013880e-04
-7.420000e-03	2.012730e-04
-7.410000e-03	2.011579e-04
-7.400000e-03	2.010429e-04
-7.390000e-03	2.009279e-04
-7.380000e-03	2.008128e-04
-7.370000e-03	2.006978e-04
-7.360000e-03	2.005827e-04
-7.350000e-03	2.004677e-04
-7.340000e-03	2.003527e-04
-7.330000e-03	2.002376e-04
-7.320000e-03	2.001226e-04
-7.310000e-03	2.000076e-04
-7.300000e-03	1.998925e-04
-7.290000e-03	1.997775e-04
-7.280000e-03	1.996625e-04
-7.270000e-03	1.995474e-04
-7.260000e-03	1.994324e-04
-7.250000e-03	1.993174e-04
-7.240000e-03	1.992023e-04
-7.230000e-03	1.990873e-04
-7.220000e-03	1.989723e-04
-7.210000e-03	1.988572e-04
-7.200000e-03	1.987422e-04
-7.190000e-03	1.986272e-04
-7.180000e-03	1.985121e-04
-7.170000e-03	1.983971e-04
-7.160000e-03	1.982821e-04
-7.150000e-03	1.981670e-04
-7.140000e-03	1.980520e-04
-7.130000e-03	1.979369e-04
-7.120000e-03	1.978219e-04
-7.110000e-03	1.977069e-04
-7.100000e-03	1.975918e-04
-7.090000e-03	1.974768e-04
-7.080000e-03	1.973618e-04
-7.070000e-03	1.972467e-04
-7.060000e-03	1.971317e-04
-7.050000e-03	1.970167e-04
-7.040000e-03	1.969016e-04
-7.030000e-03	1.967866e-04
-7.020000e-03	1.966716e-04
-7.010000e-03	1.965565e-04
-7.000000e-03	1.964415e-04
-6.990000e-03	1.963273e-04
-6.980000e-03	1.962131e-04
-6.970000e-03	1.960990e-04
-6.960000e-03	1.959848e-04
-6.950000e-03	1.958706e-04
-6.940000e-03	1.957564e-04
-6.930000e-03	1.956423e-04
-6.920000e-03	1.955281e-04
-6.910000e-03	1.954139e-04
-6.900000e-03	1.952997e-04
-6.890000e-03	1.951856e-04
-6.880000e-03	1.950714e-04
-6.870000e-03	1.949572e-04
-6.860000e-03	1.948430e-04
-6.850000e-03	1.947289e-04
-6.840000e-03	1.946147e-04
-6.830000e-03	1.945005e-04
-6.820000e-03	1.943863e-04
-6.810000e-03	1.942722e-04
-6.800000e-03	1.941580e-04
-6.790000e-03	1.940438e-04
-6.780000e-03	1.939296e-04
-6.770000e-03	1.938155e-04
-6.760000e-03	1.937013e-04
-6.750000e-03	1.935871e-04
-6.740000e-03	1.934729e-04
-6.730000e-03	1.933588e-04
-6.720000e-03	1.932446e-04
-6.710000e-03	1.931304e-04
-6.700000e-03	1.930162e-04
-6.690000e-03	1.929021e-04
-6.680000e-03	1.927879e-04
-6.670000e-03	1.926737e-04
-6.660000e-03	1.925595e-04
-6.650000e-03	1.924454e-04
