z1_new_m	d2_new_long_m
-9.000000e-03	2.278109e-04
-8.990000e-03	2.276687e-04
-8.980000e-03	2.275265e-04
-8.970000e-03	2.273842e-04
-8.960000e-03	2.272420e-04
-8.950000e-03	2.270997e-04
-8.940000e-03	2.269575e-04
-8.930000e-03	2.268153e-04
-8.920000e-03	2.266730e-04
-8.910000e-03	2.265308e-04
-8.900000e-03	2.263886e-04
-8.890000e-03	2.262463e-04
-8.880000e-03	2.261041e-04
-8.870000e-03	2.259618e-04
-8.860000e-03	2.258196e-04
-8.850000e-03	2.256774e-04
-8.840000e-03	2.255351e-04
-8.830000e-03	2.253929e-04
-8.820000e-03	2.252506e-04
-8.810000e-03	2.251084e-04
-8.800000e-03	2.249662e-04
-8.790000e-03	2.248239e-04
-8.780000e-03	2.246817e-04
-8.770000e-03	2.245395e-04
-8.760000e-03	2.243972e-04
-8.750000e-03	2.242550e-04
-8.740000e-03	2.241127e-04
-8.730000e-03	2.239705e-04
-8.720000e-03	2.238283e-04
-8.710000e-03	2.236860e-04
-8.700000e-03	2.235438e-04
-8.690000e-03	2.234015e-04
-8.680000e-03	2.232593e-04
-8.670000e-03	2.231171e-04
-8.660000e-03	2.229748e-04
-8.650000e-03	2.228326e-04
-8.640000e-03	2.226903e-04
-8.630000e-03	2.225481e-04
-8.620000e-03	2.224059e-04
-8.610000e-03	2.222636e-04
-8.600000e-03	2.221214e-04
-8.590000e-03	2.219792e-04
-8.580000e-03	2.218369e-04
-8.570000e-03	2.216947e-04
-8.560000e-03	2.215524e-04
-8.550000e-03	2.214102e-04
-8.540000e-03	2.212680e-04
-8.530000e-03	2.211257e-04
-8.520000e-03	2.209835e-04
-8.510000e-03	2.208412e-04
-8.500000e-03	2.206990e-04
-8.490000e-03	2.205568e-04
-8.480000e-03	2.204145e-04
-8.470000e-03	2.202723e-04
-8.460000e-03	2.201301e-04
-8.450000e-03	2.199878e-04
-8.440000e-03	2.198456e-04
-8.430000e-03	2.197033e-04
-8.420000e-03	2.195611e-04
-8.410000e-03	2.194189e-04
-8.400000e-03	2.192766e-04
-8.390000e-03	2.191344e-04
-8.380000e-03	2.189921e-04
-8.370000e-03	2.188499e-04
-8.360000e-03	2.187077e-04
-8.350000e-03	2.185654e-04
-8.340000e-03	2.184232e-04
-8.330000e-03	2.182809e-04
-8.320000e-03	2.181387e-04
-8.310000e-03	2.179965e-04
-8.300000e-03	2.178542e-04
-8.290000e-03	2.177120e-04
-8.280000e-03	2.175698e-04
-8.270000e-03	2.174275e-04
-8.260000e-03	2.172853e-04
-8.250000e-03	2.171430e-04
-8.240000e-03	2.170008e-04
-8.230000e-03	2.168586e-04
-8.220000e-03	2.167163e-04
-8.210000e-03	2.165741e-04
-8.200000e-03	2.164318e-04
-8.190000e-03	2.162896e-04
-8.180000e-03	2.161474e-04
-8.170000e-03	2.160051e-04
-8.160000e-03	2.158629e-04
-8.150000e-03	2.157207e-04
-8.140000e-03	2.155784e-04
-8.130000e-03	2.154362e-04
-8.120000e-03	2.152939e-04
-8.110000e-03	2.151517e-04
-8.100000e-03	2.150095e-04
-8.090000e-03	2.148672e-04
-8.080000e-03	2.147250e-04
-8.070000e-03	2.145827e-04
-8.060000e-03	2.144405e-04
-8.050000e-03	2.142983e-04
-8.040000e-03	2.141560e-04
-8.030000e-03	2.140138e-04
-8.020000e-03	2.138715e-04
-8.010000e-03	2.137293e-04
-8.000000e-03	2.135871e-04
-7.990000e-03	2.134455e-04
-7.980000e-03	2.133040e-04
-7.970000e-03	2.131624e-04
-7.960000e-03	2.130209e-04
-7.950000e-03	2.128793e-04
-7.940000e-03	2.127378e-04
-7.930000e-03	2.125962e-04
-7.920000e-03	2.124547e-04
-7.910000e-03	2.123131e-04
-7.900000e-03	2.121716e-04
-7.890000e-03	2.120300e-04
-7.880000e-03	2.118885e-04
-7.870000e-03	2.117469e-04
-7.860000e-03	2.116054e-04
