7	0.074	0.116
8	0.091	0.121
9	0.099	0.129
10	0.118	0.156
20	0.213	0.303
21	0.249	0.313
22	0.242	0.322
23	0.273	0.333
24	0.275	0.340
25	0.290	0.352
6	0.075	0.120
5	0.077	0.127
4	0.065	0.116
3	0.083	0.123
2	0.091	0.131
1	0.105	0.149
-10	0.232	0.300
-9	0.219	0.294
-8	0.214	0.267
-7	0.185	0.260
-6	0.178	0.243
