Laser,Peak_nm,FWHM_nm
thorlabsCPS780S,787.504,1.1765725000154714
uniphase1103p11777,632.005,1.2960500000170447
uniphase1103p110838,632.0459999999999,1.0350025000135976
uniphase1122p,632.103,1.2496000000164371
uniphase1507p0,634.897,0.9979650000130365
