Laser,Wavelength_nm,FWHM_nm,CoherenceLength_mm
thorlabsCPS780S,787.504,1.1765725000154714,0.5270925081181526
uniphase1023p,632.005,1.403525000018386,0.2845908124328156
uniphase1103p11777,632.005,1.2960500000170447,0.30819051735638825
uniphase1103p110838,632.0459999999999,1.0350025000135976,0.38597215572981863
uniphase1122p,632.103,1.2496000000164371,0.31974568070081966
uniphase1507p0,634.897,0.9979650000130365,0.40391617000970415
