Arrays for d2:
z1_new (m)	 d2_new_long (m)
1.000000e-03	5.926396e-05
1.010000e-03	1.085612e-04
1.020000e-03	1.085612e-04
1.030000e-03	1.085612e-04
1.040000e-03	1.085612e-04
1.050000e-03	1.085612e-04
1.060000e-03	1.085612e-04
1.070000e-03	1.085612e-04
1.080000e-03	1.085612e-04
1.090000e-03	1.085612e-04
1.100000e-03	1.085612e-04
1.110000e-03	1.085612e-04
1.120000e-03	1.085612e-04
1.130000e-03	1.085612e-04
1.140000e-03	1.085612e-04
1.150000e-03	1.085612e-04
1.160000e-03	1.085612e-04
1.170000e-03	1.085612e-04
1.180000e-03	1.085612e-04
1.190000e-03	1.085612e-04
1.200000e-03	1.085612e-04
1.210000e-03	1.085612e-04
1.220000e-03	1.085612e-04
1.230000e-03	1.085612e-04
1.240000e-03	1.085612e-04
1.250000e-03	1.085612e-04
1.260000e-03	1.085612e-04
1.270000e-03	1.085612e-04
1.280000e-03	1.085612e-04
1.290000e-03	1.085612e-04
1.300000e-03	1.085612e-04
1.310000e-03	1.085612e-04
1.320000e-03	1.085612e-04
1.330000e-03	1.085612e-04
1.340000e-03	1.085612e-04
1.350000e-03	1.085612e-04
1.360000e-03	1.085612e-04
1.370000e-03	1.085612e-04
1.380000e-03	1.085612e-04
1.390000e-03	1.085612e-04
1.400000e-03	1.085612e-04
1.410000e-03	1.085612e-04
1.420000e-03	1.085612e-04
1.430000e-03	1.085612e-04
1.440000e-03	1.085612e-04
1.450000e-03	1.085612e-04
1.460000e-03	1.085612e-04
1.470000e-03	1.085612e-04
1.480000e-03	1.085612e-04
1.490000e-03	1.085612e-04
1.500000e-03	1.085612e-04
1.510000e-03	1.085612e-04
1.520000e-03	1.085612e-04
1.530000e-03	1.085612e-04
1.540000e-03	1.085612e-04
1.550000e-03	1.085612e-04
1.560000e-03	1.085612e-04
1.570000e-03	1.085612e-04
1.580000e-03	1.085612e-04
1.590000e-03	1.085612e-04
1.600000e-03	1.085612e-04
1.610000e-03	1.085612e-04
1.620000e-03	1.085612e-04
1.630000e-03	1.085612e-04
1.640000e-03	1.085612e-04
1.650000e-03	1.085612e-04
1.660000e-03	1.085612e-04
1.670000e-03	1.085612e-04
1.680000e-03	1.085612e-04
1.690000e-03	1.085612e-04
1.700000e-03	1.085612e-04
1.710000e-03	1.085612e-04
1.720000e-03	1.085612e-04
1.730000e-03	1.085612e-04
1.740000e-03	1.085612e-04
1.750000e-03	1.085612e-04
1.760000e-03	1.085612e-04
