Arrays for d1:
z1_new (m)	 d1_new_long (m)
1.000000e-03	4.385610e-05
1.010000e-03	9.035124e-05
1.020000e-03	9.035124e-05
1.030000e-03	9.035124e-05
1.040000e-03	9.035124e-05
1.050000e-03	9.035124e-05
1.060000e-03	9.035124e-05
1.070000e-03	9.035124e-05
1.080000e-03	9.035124e-05
1.090000e-03	9.035124e-05
1.100000e-03	9.035124e-05
1.110000e-03	9.035124e-05
1.120000e-03	9.035124e-05
1.130000e-03	9.035124e-05
1.140000e-03	9.035124e-05
1.150000e-03	9.035124e-05
1.160000e-03	9.035124e-05
1.170000e-03	9.035124e-05
1.180000e-03	9.035124e-05
1.190000e-03	9.035124e-05
1.200000e-03	9.035124e-05
1.210000e-03	9.035124e-05
1.220000e-03	9.035124e-05
1.230000e-03	9.035124e-05
1.240000e-03	9.035124e-05
1.250000e-03	9.035124e-05
1.260000e-03	9.035124e-05
1.270000e-03	9.035124e-05
1.280000e-03	9.035124e-05
1.290000e-03	9.035124e-05
1.300000e-03	9.035124e-05
1.310000e-03	9.035124e-05
1.320000e-03	9.035124e-05
1.330000e-03	9.035124e-05
1.340000e-03	9.035124e-05
1.350000e-03	9.035124e-05
1.360000e-03	9.035124e-05
1.370000e-03	9.035124e-05
1.380000e-03	9.035124e-05
1.390000e-03	9.035124e-05
1.400000e-03	9.035124e-05
1.410000e-03	9.035124e-05
1.420000e-03	9.035124e-05
1.430000e-03	9.035124e-05
1.440000e-03	9.035124e-05
1.450000e-03	9.035124e-05
1.460000e-03	9.035124e-05
1.470000e-03	9.035124e-05
1.480000e-03	9.035124e-05
1.490000e-03	9.035124e-05
1.500000e-03	9.035124e-05
1.510000e-03	9.035124e-05
1.520000e-03	9.035124e-05
1.530000e-03	9.035124e-05
1.540000e-03	9.035124e-05
1.550000e-03	9.035124e-05
1.560000e-03	9.035124e-05
1.570000e-03	9.035124e-05
1.580000e-03	9.035124e-05
1.590000e-03	9.035124e-05
1.600000e-03	9.035124e-05
1.610000e-03	9.035124e-05
1.620000e-03	9.035124e-05
1.630000e-03	9.035124e-05
1.640000e-03	9.035124e-05
1.650000e-03	9.035124e-05
1.660000e-03	9.035124e-05
1.670000e-03	9.035124e-05
1.680000e-03	9.035124e-05
1.690000e-03	9.035124e-05
1.700000e-03	9.035124e-05
1.710000e-03	9.035124e-05
1.720000e-03	9.035124e-05
1.730000e-03	9.035124e-05
1.740000e-03	9.035124e-05
1.750000e-03	9.035124e-05
1.760000e-03	9.035124e-05
1.770000e-03	9.035124e-05
1.780000e-03	9.035124e-05
1.790000e-03	9.035124e-05
1.800000e-03	9.035124e-05
1.810000e-03	9.035124e-05
1.820000e-03	9.035124e-05
1.830000e-03	9.035124e-05
1.840000e-03	9.035124e-05
1.850000e-03	9.035124e-05
1.860000e-03	9.035124e-05
1.870000e-03	9.035124e-05
1.880000e-03	9.035124e-05
1.890000e-03	9.035124e-05
1.900000e-03	9.035124e-05
1.910000e-03	9.035124e-05
1.920000e-03	9.035124e-05
1.930000e-03	9.035124e-05
1.940000e-03	9.035124e-05
1.950000e-03	9.035124e-05
1.960000e-03	9.035124e-05
1.970000e-03	9.035124e-05
1.980000e-03	9.035124e-05
1.990000e-03	9.035124e-05
2.000000e-03	9.035124e-05
2.010000e-03	9.035124e-05
2.020000e-03	9.035124e-05
2.030000e-03	9.035124e-05
2.040000e-03	9.035124e-05
2.050000e-03	9.035124e-05
2.060000e-03	9.035124e-05
